EAGLE Version 8.6.3 Copyright (c) 1988-2018 Autodesk, Inc.
List of signals with length and its max. frequency / current
exported from /home/shahryar/eagle/STM32F446RE_subcircuit/STM32F446RE_subcircuit.brd
at 2018-02-24 10:27 AM
Signal	f max. [MHz]	l [mm]	A [mm2]	R [mOhm]	w min [mm]	w max [mm]	Imax [A]
GND	    854.38	350.899	0.006	 981.14	 0.178	 1.270	  0.57
VDD	   1832.20	163.629	0.006	 457.52	 0.178	 1.270	  0.57
5V	   2291.89	130.809	0.006	 365.75	 0.178	 0.508	  0.57
MGND	   3136.25	 95.592	0.009	 187.10	 0.254	 1.270	  0.80
OUT2	   3953.32	 75.835	0.006	 212.04	 0.178	 0.254	  0.57
12V	   4022.28	 74.535	0.009	 145.88	 0.254	 1.270	  0.80
OUT4	   4780.19	 62.717	0.006	 175.36	 0.178	 0.254	  0.57
U1_DIR	   4874.62	 61.502	0.006	 171.97	 0.178	 0.203	  0.57
USART6_RX	   4895.05	 61.246	0.006	 171.25	 0.178	 0.203	  0.57
U6_DIR	   5139.40	 58.334	0.006	 163.11	 0.178	 0.203	  0.57
USART3_RX	   5587.20	 53.658	0.006	 150.03	 0.178	 0.203	  0.57
U3_DIR	   5639.72	 53.159	0.006	 148.64	 0.178	 0.203	  0.57
NRST	   5774.78	 51.915	0.006	 145.16	 0.178	 0.254	  0.57
USART5_TX	   5800.97	 51.681	0.006	 144.50	 0.178	 0.203	  0.57
U4_DIR	   5986.00	 50.084	0.006	 140.04	 0.178	 0.178	  0.57
USART5_RX	   6279.21	 47.745	0.006	 133.50	 0.178	 0.203	  0.57
USART3_TX	   6797.41	 44.105	0.006	 123.32	 0.178	 0.203	  0.57
USART1_TX	   6913.96	 43.362	0.006	 121.24	 0.178	 0.203	  0.57
U2_DIR	   7201.68	 41.629	0.006	 116.40	 0.178	 0.203	  0.57
N$11	   8066.34	 37.167	0.006	 103.92	 0.178	 0.203	  0.57
USART6_TX	   8097.28	 37.025	0.006	 103.52	 0.178	 0.203	  0.57
OUT1	   8324.43	 36.014	0.006	 100.70	 0.178	 0.254	  0.57
N$18	   8670.82	 34.576	0.006	  96.68	 0.178	 0.203	  0.57
PC13	   8966.46	 33.436	0.009	  65.44	 0.254	 0.254	  0.80
N$8	   9317.11	 32.177	0.006	  89.97	 0.178	 0.178	  0.57
VBAT	   9956.52	 30.111	0.006	  84.19	 0.178	 0.254	  0.57
N$17	  10416.78	 28.781	0.006	  80.47	 0.178	 0.178	  0.57
UART4_TX	  10850.40	 27.630	0.006	  77.26	 0.178	 0.178	  0.57
N$9	  11044.43	 27.145	0.006	  75.90	 0.178	 0.178	  0.57
USART1_RX	  11410.01	 26.275	0.006	  73.47	 0.178	 0.203	  0.57
CE	  11748.98	 25.517	0.007	  62.43	 0.203	 0.203	  0.65
CSN	  12394.53	 24.188	0.007	  59.18	 0.203	 0.203	  0.65
TMS	  12456.23	 24.068	0.006	  67.30	 0.178	 0.203	  0.57
VCAP_1	  12904.79	 23.232	0.006	  64.96	 0.178	 0.203	  0.57
N$6	  13135.12	 22.824	0.006	  63.82	 0.178	 0.178	  0.57
AVDD	  13187.33	 22.734	0.006	  63.57	 0.178	 0.178	  0.57
OUT3	  13317.76	 22.511	0.006	  62.94	 0.178	 0.254	  0.57
N$3	  13684.44	 21.908	0.006	  61.26	 0.178	 0.178	  0.57
N$20	  14116.37	 21.238	0.006	  59.38	 0.178	 0.254	  0.57
USART2_TX	  14570.50	 20.576	0.006	  57.53	 0.178	 0.203	  0.57
SWO	  14929.86	 20.081	0.006	  56.15	 0.178	 0.178	  0.57
BOOT0	  14992.81	 19.996	0.006	  55.91	 0.178	 0.203	  0.57
N$2	  16284.13	 18.411	0.007	  45.04	 0.203	 0.203	  0.65
N$1	  16351.87	 18.334	0.006	  51.26	 0.178	 0.203	  0.57
N$10	  18792.90	 15.953	0.007	  39.03	 0.203	 0.203	  0.65
N$4	  20222.57	 14.825	0.006	  41.45	 0.178	 0.508	  0.57
UART4_RX	  20388.60	 14.704	0.006	  41.11	 0.178	 0.178	  0.57
TCK	  21448.04	 13.978	0.006	  39.08	 0.178	 0.200	  0.57
I2C1_SDA	  25733.73	 11.650	0.006	  32.57	 0.178	 0.178	  0.57
HC05_EN	  26447.96	 11.335	0.007	  27.73	 0.203	 0.203	  0.65
N$5	  27054.43	 11.081	0.007	  27.11	 0.203	 0.254	  0.65
I2C1_SCL	  27807.86	 10.781	0.006	  30.14	 0.178	 0.178	  0.57
SPI2_MISO	  29712.16	 10.090	0.007	  24.69	 0.203	 0.203	  0.65
INT	  30129.29	  9.950	0.006	  27.82	 0.178	 0.178	  0.57
USART2_RX	  32881.15	  9.118	0.006	  25.49	 0.178	 0.178	  0.57
SPI2_SCK	  33264.86	  9.013	0.007	  22.05	 0.203	 0.203	  0.65
NRF_IRQ	  35934.49	  8.343	0.007	  20.41	 0.203	 0.203	  0.65
SPI2_MOSI	  51417.22	  5.831	0.007	  14.27	 0.203	 0.203	  0.65
N$12	  51645.92	  5.805	0.007	  14.20	 0.203	 0.203	  0.65
N$7	  66109.34	  4.535	0.018	   4.44	 0.508	 0.508	  1.55
