Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_Disc_D5.0mm_W2.5mm_P5.00mm",100.000000,-67.300000,-90.000000,top
"C2","0.1uF","C_Disc_D5.0mm_W2.5mm_P5.00mm",100.000000,-59.500000,-90.000000,top
"C3","0.1uF","C_Disc_D5.0mm_W2.5mm_P5.00mm",100.000000,-51.825000,-90.000000,top
"C4","0.1uF","C_Disc_D5.0mm_W2.5mm_P5.00mm",100.000000,-44.325000,-90.000000,top
"C5","0.1uF","C_Disc_D5.0mm_W2.5mm_P5.00mm",100.000000,-36.800000,-90.000000,top
"C6","0.1uF","C_Disc_D5.0mm_W2.5mm_P5.00mm",100.000000,-29.325000,-90.000000,top
"C7","10uF/50V","C_Radial_D5.0mm_H11.0mm_P2.00mm",82.750000,-54.750000,180.000000,top
"C8","22uF/16V","C_Radial_D5.0mm_H11.0mm_P2.00mm",76.250000,-43.500000,0.000000,top
"C9","0.1uF","C_Disc_D5.0mm_W2.5mm_P5.00mm",65.250000,-34.500000,90.000000,top
"C10","2.2uF electrolytic","C_Radial_D4.0mm_H7.0mm_P1.50mm",66.000000,-25.250000,-90.000000,top
"C11","0.1uF","C_Disc_D5.0mm_W2.5mm_P5.00mm",61.000000,-39.750000,0.000000,top
"C12","10uF","C_Radial_D5.0mm_H11.0mm_P2.00mm",70.000000,-46.250000,90.000000,top
"C13","10uF","C_Radial_D5.0mm_H11.0mm_P2.00mm",29.250000,-50.750000,90.000000,top
"C14","0.1uF","C_Disc_D5.0mm_W2.5mm_P5.00mm",39.850000,-55.387500,180.000000,top
"C15","0.1uF","C_Disc_D5.0mm_W2.5mm_P5.00mm",51.850000,-47.137500,-90.000000,top
"C16","0.1uF","C_Disc_D5.0mm_W2.5mm_P5.00mm",50.100000,-39.750000,0.000000,top
"C17","0.1uF","C_Disc_D5.0mm_W2.5mm_P5.00mm",37.850000,-39.637500,90.000000,top
"C18","0.1uF","C_Disc_D5.0mm_W2.5mm_P5.00mm",33.600000,-52.387500,90.000000,top
"C19","10nF","C_Disc_D5.0mm_W2.5mm_P5.00mm",49.350000,-55.137500,180.000000,top
"C20","1uF","C_Disc_D5.0mm_W2.5mm_P5.00mm",49.100000,-58.137500,0.000000,top
"C21","1uF","C_Disc_D5.0mm_W2.5mm_P5.00mm",61.600000,-58.137500,180.000000,top
"C22","0.1uF","C_Disc_D5.0mm_W2.5mm_P5.00mm",36.970000,-63.637500,90.000000,top
"C23","4.7uF","C_Disc_D5.0mm_W2.5mm_P5.00mm",57.600000,-43.387500,180.000000,top
"C24","20pF","C_Disc_D5.0mm_W2.5mm_P5.00mm",40.200000,-59.937500,0.000000,top
"C25","20pF","C_Disc_D5.0mm_W2.5mm_P5.00mm",45.200000,-62.937500,180.000000,top
"D1","RED","LED_D5.0mm_Clear",70.250000,-57.275000,90.000000,top
"D2","GREEN","LED_D5.0mm_Clear",30.750000,-31.675000,-90.000000,top
"FB1","30R/1.8A","L_Axial_L5.3mm_D2.2mm_P7.62mm_Horizontal_Vishay_IM-1",78.810000,-37.200000,180.000000,top
"FB2","30R/1.8A","L_Axial_L5.3mm_D2.2mm_P7.62mm_Horizontal_Vishay_IM-1",54.790000,-55.137500,0.000000,top
"J1","Conn_01x03_Male","Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical",110.000000,-68.825000,180.000000,top
"J2","Conn_01x03_Male","Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical",110.000000,-61.325000,180.000000,top
"J3","Conn_01x03_Male","Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical",110.000000,-53.825000,180.000000,top
"J4","Conn_01x03_Male","Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical",110.000000,-46.325000,180.000000,top
"J5","Conn_01x03_Male","Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical",110.000000,-38.825000,180.000000,top
"J6","Conn_01x03_Male","Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical",110.000000,-31.325000,180.000000,top
"J7","Conn_01x03_Male","PinHeader_1x03_P2.54mm_Vertical",52.000000,-34.500000,180.000000,top
"J8","IMU Conn_01x08_Female","PinSocket_1x08_P2.54mm_Vertical",70.220000,-64.600000,-90.000000,top
"J9","JTAG Conn_01x06_Male","PinHeader_1x06_P2.54mm_Vertical",23.400000,-42.260000,0.000000,top
"J10","Screw_Terminal_01x02","TerminalBlock_bornier-2_P5.08mm",77.320000,-31.100000,0.000000,top
"J11","Conn_01x03_Male","PinHeader_1x03_P2.54mm_Vertical",25.600000,-60.760000,0.000000,top
"J12","USB_B_Mini","USB_Micro-B_Molex-105017-0001",41.200000,-21.300000,180.000000,top
"R1","10k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",90.460000,-71.825000,0.000000,top
"R2","10k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",90.460000,-64.325000,0.000000,top
"R3","10k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",90.500000,-56.825000,0.000000,top
"R4","10k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",90.500000,-48.825000,0.000000,top
"R5","10k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",90.500000,-41.325000,0.000000,top
"R6","10k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",90.460000,-34.000000,0.000000,top
"R7","1k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",71.960000,-60.500000,0.000000,top
"R8","10k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",28.800000,-65.700000,90.000000,top
"R9","1k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",28.210000,-39.000000,0.000000,top
"U1","74LVC2G241","VSSOP-8_3.0x3.0mm_P0.65mm",93.000000,-68.825000,180.000000,top
"U2","74LVC2G241","VSSOP-8_3.0x3.0mm_P0.65mm",93.000000,-61.325000,180.000000,top
"U3","74LVC2G241","VSSOP-8_3.0x3.0mm_P0.65mm",93.000000,-53.825000,180.000000,top
"U4","74LVC2G241","VSSOP-8_3.0x3.0mm_P0.65mm",93.000000,-45.825000,180.000000,top
